DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"1,230.50","1,244.50","1,224.40","1,230.50","1,244.50","1,240.80","1,237.60","1,673.00","1,165.70",2291092,"2,83,54,48,778.40",66838
16-Apr-2026,EQ,"1,231.00","1,235.50","1,222.80","1,227.00","1,231.90","1,230.50","1,229.89","1,673.00","1,165.70",1778133,"2,18,69,01,308.20",53267
15-Apr-2026,EQ,"1,220.00","1,228.70","1,216.10","1,211.10","1,227.00","1,227.00","1,224.73","1,673.00","1,165.70",1297882,"1,58,95,56,972.70",65198
13-Apr-2026,EQ,"1,222.30","1,222.30","1,203.20","1,229.50","1,211.80","1,211.10","1,211.81","1,673.00","1,165.70",1611654,"1,95,30,15,583.10",70099
10-Apr-2026,EQ,"1,225.40","1,239.00","1,220.80","1,224.40","1,230.80","1,229.50","1,232.01","1,673.00","1,165.70",2086385,"2,57,04,46,120.20",95255
09-Apr-2026,EQ,"1,215.20","1,231.20","1,213.10","1,215.90","1,225.00","1,224.40","1,225.03","1,673.00","1,165.70",2545266,"3,11,80,15,732.90",69447
08-Apr-2026,EQ,"1,220.00","1,223.00","1,204.50","1,202.40","1,216.60","1,215.90","1,214.77","1,673.00","1,165.70",2476674,"3,00,85,82,085.60",64463
07-Apr-2026,EQ,"1,195.00","1,210.40","1,185.40","1,200.90","1,203.00","1,202.40","1,201.76","1,673.00","1,165.70",2046737,"2,45,96,83,862.80",72654
06-Apr-2026,EQ,"1,190.30","1,206.00","1,170.00","1,192.40","1,203.90","1,200.90","1,187.69","1,673.00","1,165.70",2188849,"2,59,96,66,012.60",69545
02-Apr-2026,EQ,"1,190.00","1,196.60","1,165.70","1,195.90","1,195.00","1,192.40","1,185.47","1,673.00","1,165.70",3128666,"3,70,89,49,642.70",88425
01-Apr-2026,EQ,"1,255.00","1,257.00","1,194.00","1,224.20","1,199.70","1,195.90","1,211.01","1,673.00","1,194.00",2180444,"2,64,05,43,099.60",123360
30-Mar-2026,EQ,"1,231.20","1,235.00","1,215.00","1,242.30","1,222.00","1,224.20","1,225.91","1,673.00","1,215.00",2089130,"2,56,10,93,142.90",69641
27-Mar-2026,EQ,"1,226.50","1,249.20","1,226.50","1,244.40","1,242.00","1,242.30","1,239.43","1,673.00","1,216.60",2220695,"2,75,24,06,320.40",80500
25-Mar-2026,EQ,"1,222.70","1,252.90","1,219.00","1,219.40","1,248.40","1,244.40","1,239.92","1,673.00","1,216.60",1466775,"1,81,86,79,842.70",61313
24-Mar-2026,EQ,"1,235.00","1,240.00","1,216.60","1,221.80","1,220.00","1,219.40","1,224.49","1,673.00","1,216.60",853054,"1,04,45,57,617.80",45162
23-Mar-2026,EQ,"1,252.00","1,252.70","1,217.80","1,256.40","1,220.60","1,221.80","1,234.56","1,673.00","1,217.80",1295463,"1,59,93,22,190.60",74343
20-Mar-2026,EQ,"1,250.00","1,264.00","1,248.00","1,239.20","1,260.00","1,256.40","1,256.88","1,673.00","1,235.40",1151621,"1,44,74,43,927.20",49464
19-Mar-2026,EQ,"1,253.90","1,263.50","1,235.40","1,268.50","1,245.00","1,239.20","1,247.73","1,673.00","1,235.40",1080395,"1,34,80,38,063.60",64858
18-Mar-2026,EQ,"1,282.00","1,289.50","1,264.60","1,281.90","1,266.70","1,268.50","1,274.95","1,673.00","1,264.60",2226496,"2,83,86,75,043.00",107337
17-Mar-2026,EQ,"1,300.00","1,302.60","1,275.60","1,300.00","1,280.40","1,281.90","1,286.38","1,673.00","1,275.60",2034284,"2,61,68,69,916.20",72784
16-Mar-2026,EQ,"1,314.70","1,327.90","1,291.60","1,314.70","1,299.10","1,300.00","1,302.42","1,673.00","1,281.70",1496780,"1,94,94,33,285.70",63194
13-Mar-2026,EQ,"1,324.30","1,327.50","1,301.00","1,324.30","1,315.10","1,314.70","1,314.75","1,673.00","1,281.70",1346347,"1,77,01,14,360.80",52018
