DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"1,215.20","1,242.00","1,212.40","1,221.40","1,238.00","1,235.70","1,229.52","1,379.70","1,129.00",2564061,"3,15,25,57,696.50",82530
16-Apr-2026,EQ,"1,222.00","1,227.60","1,214.10","1,217.80","1,221.50","1,221.40","1,221.59","1,379.70","1,129.00",2014236,"2,46,05,72,528.20",56460
15-Apr-2026,EQ,"1,220.00","1,222.00","1,195.40","1,235.90","1,220.70","1,217.80","1,213.25","1,379.70","1,129.00",4693413,"5,69,43,04,481.50",108061
13-Apr-2026,EQ,"1,218.00","1,239.10","1,204.00","1,232.20","1,234.30","1,235.90","1,226.87","1,379.70","1,129.00",1463269,"1,79,52,41,664.90",49290
10-Apr-2026,EQ,"1,212.80","1,236.80","1,208.80","1,211.90","1,229.70","1,232.20","1,227.80","1,379.70","1,020.00",1931448,"2,37,14,24,490.00",72850
09-Apr-2026,EQ,"1,189.00","1,214.70","1,189.00","1,191.40","1,210.00","1,211.90","1,207.81","1,379.70","1,020.00",2746602,"3,31,73,74,640.50",84154
08-Apr-2026,EQ,"1,210.00","1,219.90","1,185.40","1,196.10","1,193.00","1,191.40","1,193.37","1,379.70","1,020.00",2063229,"2,46,21,99,834.20",76501
07-Apr-2026,EQ,"1,208.00","1,211.00","1,179.00","1,217.80","1,198.00","1,196.10","1,191.59","1,379.70","1,020.00",2330512,"2,77,70,09,950.20",100108
06-Apr-2026,EQ,"1,220.10","1,223.20","1,196.30","1,217.30","1,217.00","1,217.80","1,208.58","1,379.70","1,020.00",1099471,"1,32,88,01,084.20",54298
02-Apr-2026,EQ,"1,187.50","1,222.60","1,167.50","1,209.60","1,214.00","1,217.30","1,207.61","1,379.70","1,020.00",3560727,"4,29,99,85,448.40",90397
01-Apr-2026,EQ,"1,280.00","1,284.80","1,206.10","1,254.90","1,207.50","1,209.60","1,231.79","1,379.70","1,020.00",2240507,"2,75,98,45,010.20",90797
30-Mar-2026,EQ,"1,265.00","1,276.20","1,251.10","1,281.70","1,252.00","1,254.90","1,258.08","1,379.70","1,020.00",1991442,"2,50,53,93,268.00",52591
27-Mar-2026,EQ,"1,297.00","1,302.90","1,278.20","1,300.70","1,281.10","1,281.70","1,288.43","1,379.70","1,020.00",2165113,"2,78,95,94,698.40",87336
25-Mar-2026,EQ,"1,268.90","1,309.00","1,260.10","1,259.60","1,307.90","1,300.70","1,295.34","1,379.70","1,020.00",1577150,"2,04,29,48,119.90",74468
24-Mar-2026,EQ,"1,267.20","1,279.80","1,248.40","1,253.30","1,256.60","1,259.60","1,258.46","1,379.70","1,020.00",3166135,"3,98,44,54,665.00",85477
23-Mar-2026,EQ,"1,293.00","1,293.00","1,244.20","1,298.90","1,248.80","1,253.30","1,270.07","1,379.70","1,020.00",2112613,"2,68,31,65,089.10",70019
20-Mar-2026,EQ,"1,289.00","1,307.50","1,288.20","1,274.50","1,296.00","1,298.90","1,298.90","1,379.70","1,020.00",3359706,"4,36,39,27,735.00",71697
19-Mar-2026,EQ,"1,278.70","1,286.40","1,266.70","1,294.80","1,280.00","1,274.50","1,274.43","1,379.70","1,020.00",1035491,"1,31,96,65,231.70",54902
18-Mar-2026,EQ,"1,283.80","1,299.30","1,280.10","1,283.80","1,286.90","1,294.80","1,294.95","1,379.70","1,020.00",849938,"1,10,06,24,599.70",60525
17-Mar-2026,EQ,"1,279.90","1,291.40","1,265.00","1,276.90","1,281.90","1,283.80","1,280.17","1,379.70","1,020.00",1003677,"1,28,48,80,324.20",57531
16-Mar-2026,EQ,"1,292.10","1,297.00","1,264.00","1,292.30","1,273.00","1,276.90","1,277.74","1,379.70","1,020.00",1294975,"1,65,46,38,787.00",60368
13-Mar-2026,EQ,"1,310.00","1,319.90","1,280.90","1,319.00","1,290.00","1,292.30","1,296.66","1,379.70","1,020.00",1574522,"2,04,16,12,097.40",86166
12-Mar-2026,EQ,"1,321.00","1,337.30","1,303.60","1,325.50","1,319.00","1,319.00","1,321.40","1,379.70","1,020.00",1969692,"2,60,27,43,481.20",94198
11-Mar-2026,EQ,"1,311.10","1,336.00","1,311.10","1,314.60","1,322.40","1,325.50","1,326.58","1,379.70","1,020.00",2454389,"3,25,59,47,181.60",64963
10-Mar-2026,EQ,"1,288.00","1,329.60","1,288.00","1,287.00","1,311.10","1,314.60","1,316.16","1,379.70","1,020.00",2329349,"3,06,57,89,666.60",77888
09-Mar-2026,EQ,"1,285.50","1,294.90","1,273.60","1,303.80","1,284.10","1,287.00","1,285.67","1,379.70","1,020.00",1597730,"2,05,41,49,874.70",80365
06-Mar-2026,EQ,"1,313.50","1,316.40","1,290.80","1,313.50","1,309.00","1,303.80","1,305.95","1,379.70","1,020.00",963701,"1,25,85,47,201.10",57720
05-Mar-2026,EQ,"1,292.50","1,322.10","1,292.50","1,291.20","1,309.00","1,313.50","1,311.05","1,379.70","1,020.00",1060509,"1,39,03,75,314.90",71525
04-Mar-2026,EQ,"1,274.40","1,299.20","1,272.10","1,294.40","1,291.30","1,291.20","1,286.56","1,379.70","1,020.00",1890939,"2,43,27,99,009.80",78401
02-Mar-2026,EQ,"1,252.60","1,300.00","1,221.20","1,286.30","1,288.10","1,294.40","1,282.12","1,379.70","1,020.00",1052234,"1,34,90,89,234.10",63759
27-Feb-2026,EQ,"1,313.80","1,317.20","1,278.20","1,319.30","1,290.00","1,286.30","1,288.07","1,379.70","1,020.00",3510396,"4,52,16,42,364.30",68073
26-Feb-2026,EQ,"1,311.20","1,327.00","1,305.00","1,306.50","1,316.00","1,319.30","1,316.69","1,379.70","1,020.00",1511598,"1,99,03,11,482.10",60588
25-Feb-2026,EQ,"1,281.00","1,324.00","1,266.90","1,300.20","1,305.00","1,306.50","1,300.21","1,379.70","1,020.00",2296240,"2,98,56,03,626.70",82106
24-Feb-2026,EQ,"1,307.50","1,315.00","1,297.10","1,307.40","1,300.00","1,300.20","1,304.40","1,379.70","1,020.00",1803242,"2,35,21,42,698.30",65945
23-Feb-2026,EQ,"1,290.00","1,313.50","1,282.10","1,280.40","1,305.10","1,307.40","1,300.90","1,379.70","1,020.00",1849756,"2,40,63,53,328.80",69316
20-Feb-2026,EQ,"1,281.90","1,292.40","1,275.00","1,282.30","1,277.80","1,280.40","1,282.83","1,379.70","1,020.00",1753200,"2,24,90,53,135.30",32495
19-Feb-2026,EQ,"1,290.00","1,295.70","1,276.50","1,280.30","1,277.60","1,282.30","1,287.00","1,379.70","1,020.00",1333838,"1,71,66,48,381.90",47653
18-Feb-2026,EQ,"1,289.00","1,291.50","1,276.60","1,284.80","1,282.90","1,280.30","1,282.53","1,379.70","1,020.00",689997,"88,49,42,113.90",43087
17-Feb-2026,EQ,"1,266.00","1,286.80","1,258.20","1,269.40","1,281.30","1,284.80","1,276.53","1,379.70","1,020.00",687326,"87,73,89,514.40",39557
16-Feb-2026,EQ,"1,257.10","1,275.20","1,257.10","1,268.10","1,268.00","1,269.40","1,267.95","1,379.70","1,020.00",469592,"59,54,20,112.20",29597
13-Feb-2026,EQ,"1,274.00","1,279.30","1,263.60","1,274.90","1,269.70","1,268.10","1,270.55","1,379.70","1,020.00",838946,"1,06,59,19,362.00",39616
