DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"1,067.00","1,082.15","1,060.00","1,067.15","1,080.30","1,080.25","1,073.16","1,234.70","755.50",16823879,"18,05,46,41,934.60",174866
16-Apr-2026,EQ,"1,078.00","1,084.15","1,062.00","1,071.50","1,066.70","1,067.15","1,070.72","1,234.70","755.50",20313165,"21,74,96,45,347.50",274626
15-Apr-2026,EQ,"1,076.00","1,088.00","1,068.20","1,063.55","1,070.90","1,071.50","1,074.29","1,234.70","755.50",16195810,"17,39,90,74,468.45",252841
13-Apr-2026,EQ,"1,042.00","1,067.25","1,030.00","1,066.70","1,062.00","1,063.55","1,052.98","1,234.70","755.50",17763348,"18,70,44,99,526.45",243852
10-Apr-2026,EQ,"1,049.00","1,069.45","1,046.15","1,040.95","1,066.00","1,066.70","1,060.04","1,234.70","730.00",17861336,"18,93,37,89,461.05",250442
09-Apr-2026,EQ,"1,060.10","1,064.35","1,038.30","1,061.45","1,040.45","1,040.95","1,047.89","1,234.70","730.00",24772948,"25,95,92,68,796.15",300821
08-Apr-2026,EQ,"1,074.00","1,077.80","1,059.45","1,030.40","1,065.00","1,061.45","1,068.54","1,234.70","730.00",28533742,"30,48,95,01,233.80",315463
07-Apr-2026,EQ,"1,025.00","1,033.70","1,012.00","1,032.75","1,028.00","1,030.40","1,024.42","1,234.70","730.00",15021291,"15,38,81,04,655.30",218422
06-Apr-2026,EQ,"1,020.00","1,035.70","1,005.05","1,018.40","1,033.40","1,032.75","1,020.29","1,234.70","730.00",23576634,"24,05,50,71,594.35",332091
02-Apr-2026,EQ,"1,000.00","1,026.00","977.90","1,017.80","1,018.00","1,018.40","1,000.77","1,234.70","730.00",20777629,"20,79,36,42,441.60",388413
01-Apr-2026,EQ,"1,008.00","1,031.00","998.45","979.40","1,018.00","1,017.80","1,014.18","1,234.70","730.00",17424479,"17,67,14,92,961.35",250727
30-Mar-2026,EQ,"1,005.00","1,009.40","975.80","1,019.50","980.80","979.40","988.29","1,234.70","730.00",21438137,"21,18,70,26,528.40",314799
27-Mar-2026,EQ,"1,051.30","1,055.30","1,013.00","1,060.60","1,019.20","1,019.50","1,032.18","1,234.70","730.00",20445349,"21,10,31,78,751.60",444041
25-Mar-2026,EQ,"1,043.00","1,065.50","1,043.00","1,030.80","1,062.60","1,060.60","1,057.61","1,234.70","730.00",16205333,"17,13,88,77,668.20",251103
24-Mar-2026,EQ,"1,055.20","1,059.00","1,020.00","1,031.90","1,038.00","1,030.80","1,035.19","1,234.70","730.00",30416734,"31,48,69,65,633.00",310955
23-Mar-2026,EQ,"1,039.00","1,045.60","1,014.20","1,058.00","1,030.10","1,031.90","1,031.01","1,234.70","730.00",16039603,"16,53,69,23,041.30",335720
20-Mar-2026,EQ,"1,058.40","1,085.00","1,054.00","1,048.90","1,058.30","1,058.00","1,068.90","1,234.70","722.30",17748625,"18,97,14,44,649.60",497694
19-Mar-2026,EQ,"1,049.50","1,059.70","1,041.00","1,069.80","1,052.60","1,048.90","1,049.88","1,234.70","722.30",13431191,"14,10,11,19,020.20",376097
18-Mar-2026,EQ,"1,067.50","1,075.40","1,061.30","1,064.70","1,069.00","1,069.80","1,067.78","1,234.70","722.30",10749915,"11,47,85,33,827.70",240312
17-Mar-2026,EQ,"1,073.90","1,073.90","1,047.00","1,066.70","1,063.20","1,064.70","1,059.34","1,234.70","722.30",16427877,"17,40,27,02,221.10",320717
16-Mar-2026,EQ,"1,048.70","1,073.00","1,036.10","1,047.00","1,063.90","1,066.70","1,055.71","1,234.70","722.30",15322269,"16,17,59,24,213.10",257314
13-Mar-2026,EQ,"1,077.50","1,081.30","1,042.30","1,085.20","1,046.00","1,047.00","1,056.49","1,234.70","719.05",15978675,"16,88,13,34,704.90",326824
12-Mar-2026,EQ,"1,075.10","1,098.00","1,070.50","1,091.10","1,085.00","1,085.20","1,080.46","1,234.70","719.05",14614140,"15,79,00,03,178.60",290778
11-Mar-2026,EQ,"1,113.40","1,115.90","1,088.00","1,112.20","1,090.80","1,091.10","1,101.70","1,234.70","719.05",8364878,"9,21,55,95,730.70",195732
10-Mar-2026,EQ,"1,111.10","1,119.90","1,104.50","1,098.50","1,114.00","1,112.20","1,111.52","1,234.70","719.05",17491459,"19,44,21,47,785.60",251051
09-Mar-2026,EQ,"1,115.00","1,115.00","1,064.30","1,143.00","1,101.60","1,098.50","1,082.98","1,234.70","719.05",24631198,"26,67,50,40,947.80",501841
06-Mar-2026,EQ,"1,168.50","1,169.30","1,138.00","1,169.50","1,139.80","1,143.00","1,153.49","1,234.70","680.00",20333328,"23,45,43,47,093.10",265693
05-Mar-2026,EQ,"1,181.00","1,183.20","1,150.60","1,174.50","1,168.50","1,169.50","1,165.03","1,234.70","680.00",22100665,"25,74,78,50,416.00",281615
04-Mar-2026,EQ,"1,172.10","1,182.70","1,157.60","1,189.90","1,173.30","1,174.50","1,167.00","1,234.70","680.00",13855065,"16,16,89,08,771.70",278411
02-Mar-2026,EQ,"1,185.00","1,197.30","1,179.40","1,201.70","1,189.50","1,189.90","1,187.73","1,234.70","680.00",16270835,"19,32,53,97,511.40",295263
27-Feb-2026,EQ,"1,207.00","1,211.80","1,198.60","1,209.50","1,201.80","1,201.70","1,202.73","1,234.70","680.00",10700355,"12,86,96,17,331.00",177264
26-Feb-2026,EQ,"1,201.00","1,215.40","1,188.90","1,200.10","1,210.50","1,209.50","1,200.90","1,234.70","680.00",16196052,"19,44,98,08,133.20",324026
25-Feb-2026,EQ,"1,228.10","1,228.10","1,197.50","1,223.30","1,199.30","1,200.10","1,205.52","1,234.70","680.00",19581100,"23,60,54,63,052.30",257788
24-Feb-2026,EQ,"1,232.00","1,234.70","1,219.70","1,227.80","1,227.00","1,223.30","1,225.16","1,234.70","680.00",15788449,"19,34,33,95,463.90",254767
23-Feb-2026,EQ,"1,222.00","1,231.10","1,217.10","1,216.10","1,228.90","1,227.80","1,225.65","1,231.10","680.00",9733835,"11,93,03,12,522.80",201974
20-Feb-2026,EQ,"1,206.20","1,218.00","1,201.80","1,205.70","1,216.20","1,216.10","1,210.22","1,225.50","680.00",9958162,"12,05,15,77,245.80",199855
19-Feb-2026,EQ,"1,222.90","1,224.90","1,199.20","1,218.90","1,203.00","1,205.70","1,211.52","1,225.50","680.00",9630899,"11,66,80,64,853.60",177689
18-Feb-2026,EQ,"1,218.80","1,224.10","1,214.00","1,213.40","1,219.20","1,218.90","1,218.94","1,225.50","680.00",10417264,"12,69,80,07,439.70",255363
17-Feb-2026,EQ,"1,206.10","1,225.50","1,204.10","1,208.10","1,213.60","1,213.40","1,217.00","1,225.50","680.00",20107196,"24,47,04,27,537.50",267679
16-Feb-2026,EQ,"1,194.00","1,212.30","1,185.30","1,198.60","1,210.70","1,208.10","1,194.69","1,212.30","680.00",14972739,"17,88,78,42,649.00",271610
13-Feb-2026,EQ,"1,189.00","1,201.00","1,184.50","1,192.40","1,196.30","1,198.60","1,194.68","1,203.70","680.00",18141390,"21,67,31,30,087.90",226098
12-Feb-2026,EQ,"1,183.00","1,203.70","1,174.80","1,182.90","1,192.00","1,192.40","1,193.67","1,203.70","680.00",33214985,"39,64,75,77,372.20",376330
11-Feb-2026,EQ,"1,144.70","1,187.50","1,142.80","1,144.10","1,181.10","1,182.90","1,173.34","1,187.50","680.00",29491859,"34,60,39,03,117.40",401532
10-Feb-2026,EQ,"1,151.00","1,154.00","1,138.10","1,146.00","1,142.20","1,144.10","1,143.87","1,154.00","680.00",17280036,"19,76,61,73,365.40",250192
09-Feb-2026,EQ,"1,120.00","1,150.00","1,100.50","1,066.40","1,147.80","1,146.00","1,134.48","1,150.00","680.00",40852966,"46,34,66,94,652.10",670729
06-Feb-2026,EQ,"1,070.00","1,073.60","1,051.00","1,073.50","1,066.00","1,066.40","1,061.27","1,089.80","680.00",7041557,"7,47,30,00,431.60",149134
05-Feb-2026,EQ,"1,068.20","1,081.00","1,067.50","1,068.20","1,072.90","1,073.50","1,073.99","1,089.80","680.00",9551567,"10,25,82,74,381.40",307940
04-Feb-2026,EQ,"1,064.20","1,073.90","1,056.30","1,064.20","1,067.30","1,068.20","1,068.30","1,089.80","680.00",7312276,"7,81,17,36,404.20",270312
03-Feb-2026,EQ,"1,087.00","1,089.80","1,040.30","1,028.70","1,062.10","1,064.20","1,060.86","1,089.80","680.00",16129381,"17,11,10,94,374.70",243054
02-Feb-2026,EQ,"1,019.90","1,031.30","990.00","1,018.20","1,026.50","1,028.70","1,012.48","1,083.60","680.00",14434549,"14,61,46,79,105.50",304031
01-Feb-2026,EQ,"1,076.00","1,083.60","988.30","1,077.15","1,020.00","1,018.20","1,037.87","1,083.60","680.00",12051593,"12,50,79,54,389.60",287388
30-Jan-2026,EQ,"1,064.00","1,082.50","1,060.40","1,066.20","1,077.00","1,077.15","1,074.86","1,082.50","680.00",9480769,"10,19,04,75,730.05",167283
29-Jan-2026,EQ,"1,063.00","1,075.00","1,060.30","1,063.50","1,067.25","1,066.20","1,069.34","1,075.00","680.00",14800724,"15,82,69,62,918.10",240283
28-Jan-2026,EQ,"1,059.40","1,065.60","1,044.15","1,053.15","1,062.65","1,063.50","1,058.02","1,065.60","680.00",12171257,"12,87,73,93,890.40",185549
27-Jan-2026,EQ,"1,034.10","1,055.00","1,030.25","1,029.50","1,053.00","1,053.15","1,044.18","1,055.50","680.00",14420630,"15,05,77,19,793.40",225915
23-Jan-2026,EQ,"1,051.90","1,053.00","1,025.60","1,048.35","1,028.40","1,029.50","1,038.67","1,055.50","680.00",10917698,"11,33,98,54,282.00",206940
