DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"1,696.90","1,696.90","1,670.50","1,693.10","1,675.50","1,675.50","1,678.34","1,851.20","1,548.00",3146482,"5,28,08,81,029.30",120184
16-Apr-2026,EQ,"1,713.90","1,713.90","1,666.60","1,696.60","1,695.00","1,693.10","1,686.17","1,851.20","1,548.00",4512633,"7,60,90,44,586.30",167609
15-Apr-2026,EQ,"1,675.00","1,699.20","1,657.70","1,652.20","1,694.00","1,696.60","1,680.92","1,851.20","1,548.00",3760449,"6,32,10,31,456.80",111258
13-Apr-2026,EQ,"1,654.90","1,668.70","1,640.10","1,654.90","1,653.60","1,652.20","1,653.92","1,851.20","1,548.00",3751005,"6,20,38,56,110.20",135164
10-Apr-2026,EQ,"1,699.20","1,700.00","1,630.40","1,717.10","1,655.00","1,654.90","1,651.22","1,851.20","1,548.00",8089531,"13,35,75,71,566.40",233713
09-Apr-2026,EQ,"1,702.70","1,730.90","1,702.70","1,714.60","1,715.00","1,717.10","1,717.95","1,851.20","1,548.00",3276165,"5,62,83,03,237.70",126218
08-Apr-2026,EQ,"1,730.00","1,749.20","1,685.50","1,718.00","1,713.00","1,714.60","1,706.01","1,851.20","1,548.00",4859877,"8,29,10,20,144.80",142829
07-Apr-2026,EQ,"1,689.80","1,723.90","1,681.30","1,694.60","1,721.00","1,718.00","1,713.65","1,851.20","1,548.00",2471378,"4,23,50,74,139.50",100599
06-Apr-2026,EQ,"1,684.30","1,699.00","1,654.90","1,693.60","1,699.00","1,694.60","1,677.29","1,851.20","1,548.00",3533715,"5,92,70,65,759.20",104224
02-Apr-2026,EQ,"1,665.00","1,700.00","1,620.00","1,728.50","1,692.00","1,693.60","1,675.20","1,851.20","1,548.00",3937824,"6,59,66,50,697.70",173560
01-Apr-2026,EQ,"1,762.10","1,788.00","1,713.20","1,757.20","1,730.90","1,728.50","1,749.78","1,851.20","1,548.00",3245628,"5,67,91,41,446.40",116435
30-Mar-2026,EQ,"1,786.80","1,790.00","1,750.10","1,793.60","1,762.00","1,757.20","1,767.64","1,851.20","1,548.00",4182503,"7,39,31,77,891.10",141563
